Dest,DestAirportID,DestCityName,DestEncoded,DestCityNameEncoded
DEN,11292,Denver,97,83
IAH,12266,Houston,171,147
GPT,11973,Gulfport/Biloxi,143,130
TUL,15370,Tulsa,356,334
LCH,12915,Lake Charles,201,179
AEX,10185,Alexandria,11,8
MOB,13422,Mobile,235,217
CPR,11122,Casper,83,52
OKC,13851,Oklahoma City,251,242
GJT,11921,Grand Junction,141,122
DRO,11413,Durango,103,93
SAF,14674,Santa Fe,307,300
SHV,14814,Shreveport,326,310
MFE,13256,Mission/McAllen/Edinburg,224,214
DIK,11315,Dickinson,100,87
HRL,12206,Harlingen/San Benito,164,135
BTR,10781,Baton Rouge,56,26
HSV,12217,Huntsville,165,148
ICT,12278,Wichita,172,350
SGF,14783,Springfield,322,316
LNK,13029,Lincoln,209,191
LFT,12951,Lafayette,204,178
CRP,11140,Corpus Christi,84,75
ROC,14576,Rochester,303,280
PVD,14307,Providence,289,267
IAD,12264,Washington,169,343
DCA,11278,Washington,94,343
IND,12339,Indianapolis,177,151
CLT,11057,Charlotte,75,58
EWR,11618,Newark,121,231
BUF,10792,Buffalo,58,47
AVL,10431,Asheville,27,15
ITH,12397,Ithaca/Cortland,180,155
LGA,12953,New York,205,230
RIC,14524,Richmond,298,277
STL,15016,St. Louis,341,319
PHL,14100,Philadelphia,269,256
ORD,13930,Chicago,255,63
CAE,10868,Columbia,62,71
MKE,13342,Milwaukee,230,211
BTV,10785,Burlington,57,49
ERI,11577,Erie,116,99
DAY,11267,Dayton,92,78
ROA,14574,Roanoke,302,279
ATW,10408,Appleton,24,13
CLE,11042,Cleveland,73,67
AVP,10434,Scranton/Wilkes-Barre,28,307
DLH,11337,Duluth,102,92
TYS,15412,Knoxville,362,173
OMA,13871,Omaha,252,243
FNT,11721,Flint,131,108
CHS,10994,Charleston,69,56
MLI,13367,Moline,233,218
MBS,13184,Saginaw/Bay City/Midland,216,285
TVC,15380,Traverse City,358,331
PWM,14321,Portland,291,263
GRB,11977,Green Bay,144,125
GSO,11995,Greensboro/High Point,148,126
CID,11003,Cedar Rapids/Iowa City,70,54
MYR,13577,Myrtle Beach,245,225
PIA,14108,Peoria,271,254
MSN,13485,Madison,239,199
CHO,10990,Charlottesville,68,60
ABE,10135,Allentown/Bethlehem/Easton,0,9
SDF,14730,Louisville,318,196
MDT,13230,Harrisburg,220,136
GRR,11986,Grand Rapids,147,123
MEM,13244,Memphis,223,207
HPN,12197,White Plains,163,349
LIT,12992,Little Rock,208,192
DSM,11423,Des Moines,105,84
LEX,12945,Lexington,203,188
SPI,14952,Springfield,336,316
CAK,10874,Akron,63,4
ALB,10257,Albany,14,6
SBN,14696,South Bend,312,314
PIT,14122,Pittsburgh,276,259
PNS,14193,Pensacola,278,253
BHM,10599,Birmingham,37,35
BRO,10747,Brownsville,53,45
XNA,15919,Fayetteville,370,106
LRD,13061,Laredo,210,182
TXK,15401,Texarkana,360,329
CVG,11193,Cincinnati,87,65
ORF,13931,Norfolk,256,236
SCE,14711,State College,316,321
CMH,11066,Columbus,76,72
PQI,14231,Presque Isle/Houlton,280,266
ILM,12323,Wilmington,175,353
SYR,15096,Syracuse,349,326
RDU,14492,Raleigh/Durham,295,272
JAX,12451,Jacksonville,184,158
ECP,11481,Panama City,111,250
JAN,12448,Jackson/Vicksburg,183,157
ABQ,10140,Albuquerque,2,7
FLG,11695,Flagstaff,128,107
GSP,11996,Greer,149,128
ELP,11540,El Paso,115,96
MAF,13158,Midland/Odessa,215,210
IDA,12280,Idaho Falls,173,150
AUS,10423,Austin,26,21
BNA,10693,Nashville,46,227
SAV,14685,Savannah,310,305
BUR,10800,Burbank,59,48
DAL,11259,Dallas,91,76
HOU,12191,Houston,162,147
LAS,12889,Las Vegas,194,183
LAX,12892,Los Angeles,196,195
MDW,13232,Chicago,221,63
PHX,14107,Phoenix,270,257
SAN,14679,San Diego,308,292
BWI,10821,Baltimore,60,23
TPA,15304,Tampa,353,328
FLL,11697,Fort Lauderdale,129,111
MCI,13198,Kansas City,217,167
MCO,13204,Orlando,218,245
MIA,13303,Miami,229,209
MSY,13495,New Orleans,242,229
PBI,14027,West Palm Beach/Palm Beach,264,347
RSW,14635,Fort Myers,306,113
SAT,14683,San Antonio,309,291
SRQ,14986,Sarasota/Bradenton,339,303
AMA,10279,Amarillo,18,11
ATL,10397,Atlanta,23,18
LBB,12896,Lubbock,197,197
LGB,12954,Long Beach,206,193
MSP,13487,Minneapolis,241,212
OAK,13796,Oakland,247,239
ONT,13891,Ontario,254,244
SJC,14831,San Jose,328,294
SLC,14869,Salt Lake City,331,289
SMF,14893,Sacramento,333,284
SNA,14908,Santa Ana,335,298
BOS,10721,Boston,48,40
DTW,11433,Detroit,106,85
ISP,12391,Islip,179,154
VPS,15624,Valparaiso,367,338
RNO,14570,Reno,301,275
SFO,14771,San Francisco,321,293
BDL,10529,Hartford,31,137
MHT,13296,Manchester,228,200
SJU,14843,San Juan,330,295
COS,11109,Colorado Springs,81,70
BOI,10713,Boise,47,39
BZN,10849,Bozeman,61,41
FAT,11638,Fresno,125,116
GEG,11884,Spokane,138,315
HDN,12094,Hayden,155,139
MTJ,13502,Montrose/Delta,243,222
PDX,14057,Portland,265,263
PSP,14262,Palm Springs,286,249
SBA,14689,Santa Barbara,311,299
SEA,14747,Seattle,319,308
TUS,15376,Tucson,357,333
ITO,12402,Hilo,181,143
KOA,12758,Kona,190,175
LIH,12982,Lihue,207,190
OGG,13830,Kahului,249,164
HNL,12173,Honolulu,160,146
BLI,10666,Bellingham,43,29
EUG,11603,Eugene,118,101
HHH,12124,Hilton Head,157,144
DFW,11298,Dallas/Fort Worth,98,77
FAR,11637,Fargo,124,105
BFL,10561,Bakersfield,34,22
YUM,16218,Yuma,374,358
MRY,13476,Monterey,238,220
BMI,10685,Bloomington/Normal,45,38
GNV,11953,Gainesville,142,117
DAB,11252,Daytona Beach,90,79
FSD,11775,Sioux Falls,133,312
FAY,11641,Fayetteville,126,106
MGM,13277,Montgomery,226,221
STS,15023,Santa Rosa,342,302
RAP,14457,Rapid City,292,273
TLH,15249,Tallahassee,351,327
MFR,13264,Medford,225,205
JFK,12478,New York,185,230
AGS,10208,Augusta,12,20
EYW,11624,Key West,122,170
ORH,13933,Worcester,257,354
BGR,10581,Bangor,36,24
CRW,11146,Charleston/Dunbar,85,57
CHA,10980,Chattanooga,67,61
VLD,15607,Valdosta,366,337
OAJ,13795,Jacksonville/Camp Lejeune,246,159
CWA,11203,Mosinee,88,223
CSG,11150,Columbus,86,72
FWA,11823,Fort Wayne,135,115
LAN,12884,Lansing,192,180
AZO,10469,Kalamazoo,30,165
ABY,10146,Albany,4,6
DHN,11308,Dothan,99,90
BIS,10627,Bismarck/Mandan,40,37
TRI,15323,Bristol/Johnson City/Kingsport,354,44
BQK,10731,Brunswick,50,46
EVV,11612,Evansville,119,102
MLU,13377,Monroe,234,219
MOT,13433,Minot,236,213
GTR,12007,Columbus,152,72
RST,14633,Rochester,305,280
GFK,11898,Grand Forks,139,120
BGM,10577,Binghamton,35,34
STT,15024,Charlotte Amalie,343,59
EGE,11503,Eagle,112,94
STX,15027,Christiansted,344,64
JAC,12441,Jackson,182,156
MSO,13486,Missoula,240,215
GUC,12012,Gunnison,153,131
PHF,14098,Newport News/Williamsburg,268,233
HTS,12223,Ashland,166,16
SBY,14704,Salisbury,314,288
ART,10361,Watertown,21,345
FLO,11699,Florence,130,109
LYH,13139,Lynchburg,214,198
PGV,14092,Greenville,267,127
ANC,10299,Anchorage,19,12
BET,10551,Bethel,32,32
BRW,10754,Barrow,54,25
KTN,12819,Ketchikan,191,169
YAK,15991,Yakutat,372,357
CDV,10926,Cordova,65,74
WRG,15841,Wrangell,368,355
PSG,14256,Petersburg,284,255
JNU,12523,Juneau,188,163
FAI,11630,Fairbanks,123,104
SIT,14828,Sitka,327,313
ADQ,10170,Kodiak,10,174
OME,13873,Nome,253,235
OTZ,13970,Kotzebue,259,176
PAE,14004,Everett,261,103
ADK,10165,Adak Island,9,2
SCC,14709,Deadhorse,315,80
BQN,10732,Aguadilla,51,3
PSE,14254,Ponce,283,262
FCA,11648,Kalispell,127,166
MLB,13360,Melbourne,232,206
BIL,10620,Billings,39,33
ILG,12320,Wilmington,174,353
TTN,15356,Trenton,355,332
SWF,15070,Newburgh/Poughkeepsie,347,232
SFB,14761,Sanford,320,297
PBG,14025,Plattsburgh,263,260
PIE,14112,St. Petersburg,273,320
ELM,11537,Elmira/Corning,114,98
AZA,10466,Phoenix,29,257
IAG,12265,Niagara Falls,170,234
OGD,13829,Ogden,248,240
PSC,14252,Pasco/Kennewick/Richland,282,251
SCK,14716,Stockton,317,324
USA,12544,Concord,363,73
LCK,12917,Columbus,202,72
TOL,15295,Toledo,352,330
PVU,14314,Provo,290,268
PGD,14082,Punta Gorda,266,271
PSM,14259,Portsmouth,285,264
RFD,14512,Rockford,296,282
SMX,14905,Santa Maria,334,301
RDM,14489,Bend/Redmond,294,31
STC,15008,St. Cloud,340,317
GRI,11980,Grand Island,145,121
HGR,12119,Hagerstown,156,133
BLV,10676,Belleville,44,28
CKB,11027,Clarksburg/Fairmont,72,66
GTF,12003,Great Falls,151,124
OWB,13983,Owensboro,260,246
PPG,14222,Pago Pago,279,248
ALO,10268,Waterloo,15,344
TYR,15411,Tyler,361,336
MHK,13290,Manhattan/Ft. Riley,227,201
GGG,11905,Longview,140,194
GRK,11982,Killeen,146,171
SWO,15074,Stillwater,348,323
ABI,10136,Abilene,1,1
FSM,11778,Fort Smith,134,114
LSE,13076,La Crosse,211,177
LAW,12891,Lawton/Fort Sill,195,185
DRT,11415,Del Rio,104,82
GCK,11867,Garden City,137,118
BPT,10728,Beaumont/Port Arthur,49,27
DBQ,11274,Dubuque,93,91
SJT,14842,San Angelo,329,290
ACT,10155,Waco,6,341
CMI,11067,Champaign/Urbana,77,55
SPS,14960,Wichita Falls,338,351
MQT,13459,Marquette,237,202
SBP,14698,San Luis Obispo,313,296
CLL,11049,College Station/Bryan,74,69
COU,11111,Columbia,82,71
ACY,10158,Atlantic City,8,19
LBE,12898,Latrobe,198,184
EWN,11617,New Bern/Morehead/Beaufort,120,228
ROW,14588,Roswell,304,283
ACV,10157,Arcata/Eureka,7,14
SGU,14794,St. George,323,318
ASE,10372,Aspen,22,17
GCC,11865,Gillette,136,119
RIW,14534,Riverton/Lander,299,278
PRC,14237,Prescott,281,265
ALS,10272,Alamosa,16,5
SLN,14877,Salina,332,287
OTH,13964,North Bend/Coos Bay,258,237
COD,11097,Cody,80,68
HYS,12255,Hays,168,140
HLN,12156,Helena,159,141
HOB,12177,Hobbs,161,145
RDD,14487,Redding,293,274
JLN,12511,Joplin,186,162
SHD,14802,Staunton,324,322
JMS,12519,Jamestown,187,160
PAH,14006,Paducah,262,247
BFF,10558,Scottsbluff,33,306
VCT,15569,Victoria,364,340
CGI,10967,Cape Girardeau,66,51
LBL,12902,Liberal,200,189
SUX,15048,Sioux City,346,311
CYS,11233,Cheyenne,89,62
DDC,11283,Dodge City,95,89
RKS,14543,Rock Springs,300,281
JST,12559,Johnstown,189,161
LAR,12888,Laramie,193,181
EAU,11471,Eau Claire,110,95
EAR,11468,Kearney,108,168
CNY,11092,Moab,79,216
MEI,13241,Meridian,222,208
PIB,14109,Hattiesburg/Laurel,272,138
CMX,11076,Hancock/Houghton,78,134
MCW,13211,Mason City,219,204
SHR,14812,Sheridan,325,309
DVL,11447,Devils Lake,107,86
DEC,11288,Decatur,96,81
OGS,13832,Ogdensburg,250,241
VEL,15582,Vernal,365,339
MKG,13344,Muskegon,231,224
FOD,11725,Fort Dodge,132,110
LBF,12899,North Platte,199,238
LWB,13121,Lewisburg,212,186
PUB,14288,Pueblo,287,269
XWA,16869,Williston,371,352
TBN,15138,Fort Leonard Wood,350,112
LWS,13127,Lewiston,213,187
SUN,15041,Sun Valley/Hailey/Ketchum,345,325
BTM,10779,Butte,55,50
IMT,12335,Iron Mountain/Kingsfd,176,153
EKO,11525,Elko,113,97
ABR,10141,Aberdeen,3,0
PLN,14150,Pellston,277,252
APN,10333,Alpena,20,10
HIB,12129,Hibbing,158,142
RHI,14520,Rhinelander,297,276
INL,12343,International Falls,178,152
CIU,11013,Sault Ste. Marie,71,304
PIH,14113,Pocatello,274,261
BRD,10739,Brainerd,52,42
ESC,11587,Escanaba,117,100
TWF,15389,Twin Falls,359,335
BJI,10631,Bemidji,41,30
CDC,10918,Cedar City,64,53
YKM,16101,Yakima,373,356
ALW,10275,Walla Walla,17,342
PUW,14303,Pullman,288,270
EAT,11470,Wenatchee,109,346
DLG,11336,Dillingham,101,88
AKN,10245,King Salmon,13,172
GUM,12016,Guam,154,129
SPN,14955,Saipan,337,286
BIH,10617,Bishop,38,36
WYS,15897,West Yellowstone,369,348
ACK,10154,Nantucket,5,226
BKG,10643,Branson,42,43
GST,11997,Gustavus,150,132
MVY,13541,Martha's Vineyard,244,203
HYA,12250,Hyannis,167,149
PIR,14120,Pierre,275,258
ATY,10409,Watertown,25,345
